name,description,category,photo,points,resource_link,resource_type,resource_alt
Make your own slime! 💚,Did you know that it's really simple to make your own slime? Ask your family to make some slime together! Write about the texture and color of your slime with as much detail as possible.,Creativity Training,FALSE,10,https://www.youtube.com/watch?v=gQchaiCI8JU,video,Learn how to make slime
Go on a bike or scooter ride 🚲 ,Hop on a bike and take a spin around the neighborhood with a helmet and if your parents say it's OK! How do you feel after a bike ride?,Health Training,FALSE,5,https://media.giphy.com/media/wg4y5TWOFXN3a/giphy.gif,image,Kids having fun on bikes
✨  Write down your 5 best qualities ✨ ,"There are so many wonderful things about yourself! Pick five things you especially love about what makes you, you. ",Health Training,FALSE,3,https://www.youtube.com/watch?v=Bk_qU7l-fcU,video,Self esteem: how to feel awesome about being you
Take a walk 🚶‍♀️ ,Notice all the different plants and trees as you walk. Write down the names of any that you recognize.,Health Training,FALSE,8,https://images.twinkl.co.uk/tw1n/image/private/t_630/image_repo/13/54/T2-S-875-Tree-Identification-Sheet_ver_1.jpg,image,Tree Identification Chart
Write a thank you letter ✏️ ,What are some of the ways your grownups have helped you? Write a thank you card to your family! Appreciation is always appreciated!,Creativity Training,FALSE,5,https://www.youtube.com/watch?v=s42kSL-r8lw,video,How to make fingerprint cards
Write about your favorite thing that you learned today 🧠 ,"Did you learn about something in school, at home, or online today that really inspired or surprised you? Write about it!",Brain Training,FALSE,5,https://kidadl.com/articles/fun-facts-and-stats-for-kids,link,Fun facts for kids
Design a gif ✍️ ,Gifs are surprisingly fun and easy to make! Watch the video to learn how to create your own gif or you can use a different method you already know about. Write about what your gif looks like. How did you make it?,Creativity Training,FALSE,6,https://www.youtube.com/watch?v=BvW-iAEW9po,video,How to make a gif
Practice Box-breathing meditation for 5 minutes 🕉,"Find a quiet place to sit and get comfortable.  Inhale through your nose for 4 counts, hold for 4, exhale through your mouth for 4, hold for 4 . . .Repeat. Write about how this made you feel. Did it help you relax? Would you consider trying this when stressed?",Health Training,FALSE,5,https://www.youtube.com/watch?v=AOL3isokmY4,video,Box breathing
Use a sleep story to fall asleep 😴,Use a sleep story to fall asleep at night. Did it help you fall asleep faster? Write about your experience. Were there any techniques you picked up on you want to use regularly?,Health Training,FALSE,3,https://www.youtube.com/watch?v=SZKwxESYb1A,video,Relaxing rainbows: sleep meditation
Get down with yoga 🙆‍♀️,"Follow along with a yoga video online or try a variety of poses like Child's Pose, Downward Dog and Warrior. Yoga can boost self-esteem, strength, and flexibility! Take a moment to learn about yoga and some different exercises you can do to start your day. Write about a new routine you could use to start ",Health Training,FALSE,6,https://www.youtube.com/watch?v=Td6zFtZPkJ4,video,Yoga for the classroom
Learn about recycling in your town ♻️,"Find out how your town recycles paper, plastic, and glass. What did you learn? What are some ways you could be more conscious about how your family recycles?",Basic Training,FALSE,8,https://www.youtube.com/watch?v=VlRVPum9cp4,video,How recycling works video
Take a shorter shower than usual 🚿,Bathing is obviously an important of self care but we can help trim down our carbon footprint by being aware of how long we're in the shower. Write about all the ways you use water in your day-to-day life.,Basic Training,FALSE,3,https://i.pinimg.com/originals/37/53/92/3753923f4f327076a489bc64662aeab3.png,image,Showering infographic
🌲 Plant a tree 🌳,"Watch this video to learn how to plant a tree! Write down the steps it takes, naming the parts of a tree along the way. Trees help clean the air we breathe and filter the water we drink. Write about what kind of tree you want to plant and how long it will take to grow.",Health Training,FALSE,3,https://www.youtube.com/watch?v=upUDTbBv1tA,video,How to plant a tree video
Compliment 3 people today 🥰,Write down three compliments for three different people that you will share with them!,Basic Training,FALSE,5,https://i.pinimg.com/originals/d4/a7/e6/d4a7e68f7c1acab131b63dada29bf677.jpg,image,Example compliment starters
Smile at everyone you see today 😁,Did you know that smiling can actually make you feel better? Try smiling at everyone you make eye contact with today!,Basic Training,FALSE,3,https://blog.1stfamilydental.com/wp-content/uploads/2014/10/Smile-Infographic-1st-Family-Dental.jpg,image,Smiling is good for your whole body infographic
Tell someone why you love them 💖,Tell someone why you love them! Write down a few things you plan on telling your loved one.,Creativity Training,FALSE,,https://media.giphy.com/media/M90mJvfWfd5mbUuULX/giphy.gif,image,bear blowing kisses gif
Make your own planter 🌱 ,Use a sleep story to fall asleep at night. Write about,Creativity Training,FALSE,10,https://www.youtube.com/watch?v=g6JYp4wp2Is,video,make a planter out of a milk jug
Meditate for 12 minutes 🕉,"Meditation is scientifically proven to improve health, happiness and focus, as well as decrease stress. Follow along with the video and write about how the meditation made you feel. Do you feel more or less stressed?",Health Training,FALSE,5,https://www.youtube.com/watch?v=Bk_qU7l-fcU,video,Mindfulness meditation for kids
Stand up and wiggle it out - from your head to your toes 💃 ,This is an easy one. Stand up and wiggle for 15 seconds or until you feel good! How did it feel to shake it out? What parts of your body did you stretch? Write about your experience.,Health Training,FALSE,3,https://media.giphy.com/media/l378afEgQviw0uqLC/giphy.gif,image,Wiggling gif
Write about a win and a challenge you faced today 💯 ,"It's good for an agent to know how they are feeling. Write down one thing that was hard today, and write down one thing that was good!",Brain Training,FALSE,3,https://media.giphy.com/media/Fu3OjBQiCs3s0ZuLY3/giphy.gif,image,Smiling doggy
Create a bucket list 📝,"What are some of the things you would love to do most? Make a list or write a story about places you want to travel, people you want to meet, foods you want to try - the options are limitless!",Creativity Training,FALSE,5,https://www.youtube.com/watch?v=iQ0wupJgfAI,video,Other kids' bucket lists
📚 Create homemade bookmarks 📚 ,"Grab some markers, packing tape, and a piece of printer paper. Cut the printer paper into 5 pieces and color them in with whatever designs you'd like. When you're done designing, sandwich the paper pieces between two pieces of packing tape then use scissors to cut off the excess tape. ",Creativity Training,TRUE,8,https://youtu.be/cVJNc8G1i-M,video,How to make your own bookmarks
Create paper jellyfish! 🐠 ,"Create some fun paper jellyfish with some paint, scissors and paper bags! Take a picture of your masterpiece when you are done!",Creativity Training,TRUE,10,https://www.notimeforflashcards.com/2013/07/paper-bag-jellyfish-craft.html,link,Make some fun crafts!
Build a rubber band guitar 🎸 ,"For this task, you'll need a shoebox or tissue box and some rubber bands. Place the rubber bands around the cup and start strumming! Take a picture of your creation to fulfill this task!",Creativity Training,TRUE,10,https://www.youtube.com/watch?v=ZAw-cqPWfe8,video,Rubber Band Guitar physics
